"location.long","location.lat","timestamp","burst_","step_id_","case_","x1_","y1_","x2_","y2_","t1_","t2_","dt_","sl_","ta_","individual.local.identifier","utm.northing","x2_.1"
-8.50204988709109,TRUE,"2014-04-13 14:12:28",2,28,FALSE,4968416.67099059,-1184943.40991283,4968529.89889098,-1184747.54171822,"2014-04-13 14:12:28","2014-04-13 14:28:14",15.7666666666667,281.002532287989,-137.074010211795,"B3",-1184747.54171822,-1.31236361015463
-8.5020578429475,TRUE,"2014-04-14 10:32:28",5,46,FALSE,4967494.50086967,-1185082.45236898,4967608.67794885,-1184643.04552849,"2014-04-14 10:32:28","2014-04-14 10:55:34",23.1,389.395563851267,7.55639248246217,"B3",-1184643.04552849,-1.31906105218165
-8.50207196258698,TRUE,"2014-04-17 12:36:08",16,153,FALSE,4968015.85433562,-1185184.64861332,4968307.02860324,-1184725.07910785,"2014-04-17 12:36:08","2014-04-17 12:51:34",15.4333333333333,546.468849592176,176.938045172625,"B3",-1184725.07910785,-1.31398154444165
-8.50208396008698,TRUE,"2014-04-16 15:42:44",12,134,FALSE,4967814.29737139,-1185070.00553363,4968251.64742345,-1184720.40901618,"2014-04-16 15:42:44","2014-04-16 15:58:11",15.45,651.785609190893,88.7998300175564,"B3",-1184720.40901618,-1.31438284124556
-8.50210375908232,TRUE,"2014-04-16 11:02:52",12,116,FALSE,4967628.64845609,-1185168.93713216,4967913.24311734,-1184684.38479757,"2014-04-16 11:02:52","2014-04-16 11:18:13",15.35,561.468651136421,-11.5271304832179,"B3",-1184684.38479757,-1.31684115543623
-8.50212288110266,TRUE,"2014-04-13 10:03:09",1,15,FALSE,4968449.34568383,-1184992.64167349,4968781.95598809,-1184786.65940993,"2014-04-13 10:03:09","2014-04-13 10:18:35",15.4333333333333,392.480320902223,-162.803198696812,"B3",-1184786.65940993,-1.31052255084991
-8.5021287069025,TRUE,"2014-04-14 12:13:17",5,52,FALSE,4967378.87055837,-1184903.62539396,4967453.08118309,-1184635.12797366,"2014-04-14 12:13:17","2014-04-14 12:29:05",15.8,263.92210453875,20.1353247743485,"B3",-1184635.12797366,-1.32018432046648
-8.50223760471706,TRUE,"2014-04-13 10:03:09",1,15,FALSE,4968449.34568383,-1184992.64167349,4968446.33167238,-1184764.23483294,"2014-04-13 10:03:09","2014-04-13 10:18:35",15.4333333333333,230.797774371494,14.1502264134013,"B3",-1184764.23483294,-1.31294959936087
-8.5022377867355,TRUE,"2014-04-14 12:13:17",5,52,FALSE,4967378.87055837,-1184903.62539396,4967232.51435126,-1184625.11241115,"2014-04-14 12:13:17","2014-04-14 12:29:05",15.8,301.233252037761,58.6268072058294,"B3",-1184625.11241115,-1.3217756496694
-8.50226959743429,TRUE,"2014-04-16 12:51:54",12,123,FALSE,4967782.35378031,-1185093.34786656,4967860.34281989,-1184701.53117476,"2014-04-16 12:51:54","2014-04-16 13:07:25",15.5166666666667,400.312575248924,32.7906485663306,"B3",-1184701.53117476,-1.31720671278209
-8.50228272826286,TRUE,"2014-04-13 09:16:57",1,12,FALSE,4968331.81925982,-1185126.83319139,4968118.65981748,-1184732.98287974,"2014-04-13 09:16:57","2014-04-13 09:32:22",15.4166666666667,315.008417706471,-117.066482400137,"B3",-1184732.98287974,-1.31532691716655
-8.50231859797354,TRUE,"2014-04-14 10:32:28",5,46,FALSE,4967494.50086967,-1185082.45236898,4967415.84251025,-1184657.43547754,"2014-04-14 10:32:28","2014-04-14 10:55:34",23.1,366.432154014684,-86.1774541792943,"B3",-1184657.43547754,-1.32043324155201
-8.50234206571735,TRUE,"2014-04-13 09:32:22",1,13,FALSE,4968379.65648376,-1184964.91682588,4968412.15122382,-1184774.9370101,"2014-04-13 09:32:22","2014-04-13 09:47:47",15.4166666666667,212.756026124458,-143.095798269911,"B3",-1184774.9370101,-1.31318609258808
-8.50238909030049,TRUE,"2014-04-13 09:47:47",1,14,FALSE,4968390.56408345,-1184985.19689339,4968319.98203461,-1184770.95128514,"2014-04-13 09:47:47","2014-04-13 10:03:09",15.3666666666667,232.655225398149,-111.21830539213,"B3",-1184770.95128514,-1.31385083760364
-8.50242582355617,TRUE,"2014-04-13 09:47:47",1,14,FALSE,4968390.56408345,-1184985.19689339,4967923.11954974,-1184730.59329651,"2014-04-13 09:47:47","2014-04-13 10:03:09",15.3666666666667,535.885943067882,-16.2189065587642,"B3",-1184730.59329651,-1.31673225405387
-8.50244143957988,TRUE,"2014-04-13 10:18:35",1,16,FALSE,4968423.57701914,-1184995.01292633,4968416.58748242,-1184789.35474572,"2014-04-13 10:18:35","2014-04-13 10:33:57",15.3666666666667,213.324859444832,7.88675225399306,"B3",-1184789.35474572,-1.3131423917666
-8.50247067258456,TRUE,"2014-04-13 09:47:47",1,14,FALSE,4968390.56408345,-1184985.19689339,4968551.94177232,-1184808.96604992,"2014-04-13 09:47:47","2014-04-13 10:03:09",15.3666666666667,244.498452264665,7.1331154514948,"B3",-1184808.96604992,-1.31215487620845
-8.50248295839988,TRUE,"2014-04-16 13:22:50",12,125,FALSE,4967953.98559,-1185131.2256113,4968172.50309431,-1184767.18082337,"2014-04-16 13:22:50","2014-04-16 13:38:35",15.75,424.374207873587,-137.200191283582,"B3",-1184767.18082337,-1.31491235647024
-8.50250011728834,TRUE,"2014-04-13 12:56:21",1,26,FALSE,4968315.69394174,-1185091.25482308,4968461.55346252,-1184802.72343688,"2014-04-13 12:56:21","2014-04-13 13:13:14",16.8833333333333,334.899526194568,7.40335224414841,"B3",-1184802.72343688,-1.31280868876915
-8.50253686315619,TRUE,"2014-04-17 13:22:26",16,156,FALSE,4967940.24636058,-1185144.20861474,4967873.01680839,-1184740.39055083,"2014-04-17 13:22:26","2014-04-17 13:38:02",15.6,351.940508715518,83.4444119273353,"B3",-1184740.39055083,-1.31708377928472
